fast_low,slow_low,fast_high,slow_high,vol_lookback,vol_threshold_pct,sortino,trades_yr,penalised
50,120,42,280,60,70.0,0.991238,1.96312,0.95197564
42,120,50,210,80,70.0,0.9929778,2.0625186,0.95172745
42,140,50,210,40,70.0,0.9869353,1.764323,0.9516489
50,120,50,210,120,60.0,0.9859374,1.7146238,0.9516449
50,120,42,270,60,70.0,0.9908947,1.96312,0.9516323
42,140,50,200,40,70.0,0.9867607,1.764323,0.9514742
42,140,22,270,40,70.0,0.99165624,2.0128193,0.95139986
50,120,12,250,40,60.0,0.9945243,2.161917,0.95128596
42,130,50,250,60,70.0,0.9934725,2.1122177,0.95122814
42,120,22,250,80,70.0,0.99346405,2.1122177,0.95121974
50,120,12,240,80,70.0,0.99043894,1.96312,0.9511765
42,120,50,210,60,70.0,0.99810743,2.360714,0.95089316
50,120,50,240,40,70.0,0.9951176,2.2116163,0.9508853
50,100,22,250,40,70.0,1.0059606,2.758308,0.9507944
42,130,50,250,40,70.0,0.9939733,2.161917,0.950735
50,120,12,60,100,70.0,1.0168102,3.3049996,0.9507102
50,120,50,230,60,70.0,0.99385375,2.161917,0.9506154
42,140,12,250,60,70.0,0.9926718,2.1122177,0.9504275
42,140,42,290,60,70.0,0.9896726,1.96312,0.95041025
50,120,50,200,120,70.0,0.9816833,1.5655261,0.9503728
42,120,50,300,60,70.0,0.9955613,2.2613153,0.95033497
42,130,12,250,80,70.0,0.9875906,1.8637215,0.9503162
42,120,22,270,100,70.0,0.982596,1.6152253,0.95029145
42,130,50,200,120,70.0,0.98060274,1.5158268,0.9502862
42,120,12,60,40,70.0,1.0362573,4.2989845,0.9502776
42,120,50,290,60,70.0,0.9955028,2.2613153,0.95027655
50,120,50,210,40,70.0,0.99348205,2.161917,0.9502437
42,130,42,240,80,70.0,0.9875173,1.8637215,0.9502429
42,120,50,200,80,70.0,0.9914817,2.0625186,0.9502314
50,120,12,250,60,60.0,0.9954186,2.2613153,0.9501923
42,130,42,280,40,70.0,0.9914115,2.0625186,0.95016116
50,120,22,220,40,70.0,0.9953312,2.2613153,0.95010495
50,120,50,200,40,70.0,0.99332774,2.161917,0.9500894
50,120,22,310,100,70.0,0.983282,1.6649246,0.94998354
42,130,12,230,80,60.0,0.98212546,1.6152253,0.94982094
50,120,42,310,60,70.0,0.98907197,1.96312,0.94980955
42,130,42,260,80,70.0,0.9860808,1.8140223,0.94980043
42,120,50,210,100,70.0,0.9860163,1.8140223,0.9497359
50,120,22,250,60,60.0,0.9849916,1.764323,0.9497051
50,130,12,240,40,70.0,0.99585724,2.3110147,0.94963694
42,130,32,250,80,70.0,0.9858508,1.8140223,0.94957036
50,120,2,310,120,60.0,1.0007533,2.559511,0.949563
42,120,22,300,60,70.0,0.9936836,2.2116163,0.9494512
42,130,12,230,60,70.0,0.9896562,2.0128193,0.9493998
50,120,12,60,80,60.0,1.0214448,3.603195,0.94938093
50,120,50,330,60,70.0,0.98860043,1.96312,0.949338
50,120,42,240,80,70.0,0.98750293,1.9134208,0.94923455
50,120,12,260,40,70.0,1.0034008,2.7086086,0.94922864
42,130,42,240,40,70.0,0.9914516,2.1122177,0.94920725
42,140,12,260,40,70.0,0.99642015,2.360714,0.9492059
42,130,50,230,80,70.0,0.9844701,1.764323,0.9491837
42,130,42,270,80,70.0,0.98542225,1.8140223,0.9491418
42,130,32,320,40,70.0,0.9902649,2.0625186,0.94901454
50,120,22,290,60,70.0,0.9891993,2.0128193,0.9489429
42,140,22,220,40,70.0,0.98815674,1.96312,0.9488944
42,130,22,270,100,70.0,0.9781786,1.4661276,0.94885606
50,120,22,270,40,70.0,0.9980219,2.4601123,0.94881964
42,120,50,330,60,70.0,0.9930519,2.2116163,0.9488195
50,120,2,310,40,70.0,1.0159026,3.3546987,0.94880867
50,120,42,260,80,70.0,0.98607945,1.8637215,0.948805
42,140,2,310,40,70.0,1.0088469,3.006804,0.94871074
50,130,12,60,60,60.0,1.0246493,3.801992,0.9486094
42,130,12,60,60,70.0,1.0196272,3.5534956,0.94855726
50,120,32,250,80,70.0,0.9858283,1.8637215,0.94855386
42,130,50,210,60,70.0,0.99074316,2.1122177,0.94849885
42,140,12,240,80,60.0,0.9807878,1.6152253,0.9484833
42,120,32,320,60,70.0,0.99165106,2.161917,0.9484127
42,120,50,200,120,60.0,0.9876216,1.96312,0.9483592
42,130,50,210,100,70.0,0.9816202,1.6649246,0.9483217
42,140,32,290,60,70.0,0.9865773,1.9134208,0.9483089
42,120,2,100,100,70.0,1.0223259,3.7025933,0.9482741
42,130,2,320,120,70.0,0.98546296,1.8637215,0.94818854
50,120,50,230,80,70.0,0.9844666,1.8140223,0.94818616
50,120,42,270,80,70.0,0.9854324,1.8637215,0.94815797
42,130,50,300,60,70.0,0.9883916,2.0128193,0.9481352
42,120,42,280,60,70.0,0.9923556,2.2116163,0.9481233
42,130,50,290,60,70.0,0.9883016,2.0128193,0.9480452
42,120,50,230,60,70.0,0.9952467,2.360714,0.94803244
50,120,12,250,80,70.0,0.9872712,1.96312,0.9480088
42,110,12,240,40,70.0,0.99719816,2.4601123,0.94799596
42,140,2,310,60,70.0,1.0021397,2.7086086,0.9479675
42,310,42,220,120,60.0,0.97221625,1.2176313,0.94786364
42,140,32,320,60,70.0,0.98513556,1.8637215,0.94786114
42,100,22,260,60,70.0,0.9940048,2.3110147,0.9477845
42,120,42,270,60,70.0,0.9920159,2.2116163,0.9477836
42,120,12,60,60,60.0,1.0248019,3.8516912,0.94776803
50,120,32,320,60,70.0,0.98690546,1.96312,0.94764304
42,140,50,250,80,70.0,0.9837647,1.8140223,0.94748425
50,110,12,250,40,70.0,1.0026428,2.758308,0.9474766
42,100,2,310,120,70.0,0.992648,2.2613153,0.94742167
42,130,12,210,40,70.0,0.9935555,2.3110147,0.94733524
42,150,12,240,40,70.0,0.9904692,2.161917,0.9472309
42,130,12,250,80,60.0,0.98445845,1.8637215,0.94718397
42,130,32,290,40,70.0,0.99135476,2.2116163,0.94712245
42,130,42,220,120,60.0,0.9813793,1.7146238,0.9470868
42,130,22,300,60,70.0,0.98633945,1.96312,0.94707704
50,120,22,270,60,70.0,0.9863209,1.96312,0.94705856
50,120,50,310,60,70.0,0.9872922,2.0128193,0.9470358
50,310,42,220,120,60.0,0.971252,1.2176313,0.9468994
42,120,22,280,40,70.0,1.0000602,2.6589093,0.94688207
42,140,12,230,40,60.0,0.98212236,1.764323,0.94683594
42,140,50,230,40,70.0,0.98300475,1.8140223,0.9467243
42,120,22,310,80,70.0,0.9918485,2.2613153,0.9466222
42,140,50,210,120,70.0,0.97394973,1.3667291,0.9466151
42,120,22,250,100,70.0,0.9818798,1.764323,0.9465933
42,120,50,200,120,70.0,0.98184067,1.764323,0.94655424
42,130,50,330,40,70.0,0.9887751,2.1122177,0.9465307
50,120,42,260,60,70.0,0.9887694,2.1122177,0.9465251
50,110,12,60,60,60.0,1.0224824,3.801992,0.94644254
42,120,22,290,60,70.0,0.9906024,2.2116163,0.94637007
42,140,2,310,100,70.0,0.9905234,2.2116163,0.9462911
50,130,12,230,40,70.0,0.9924804,2.3110147,0.9462601
42,140,12,220,20,70.0,0.99545693,2.4601123,0.9462547
42,120,32,250,100,70.0,0.98053414,1.7146238,0.9462417
42,140,22,240,40,70.0,0.98731816,2.0625186,0.94606775
42,140,50,240,60,70.0,0.98630804,2.0128193,0.94605166
50,120,22,240,40,70.0,0.9942061,2.4104133,0.9459978
42,120,42,310,60,70.0,0.99017024,2.2116163,0.9459379
42,130,12,220,20,70.0,0.9970591,2.559511,0.9458689
42,130,42,280,60,70.0,0.9851193,1.96312,0.94585687
42,140,22,260,80,70.0,0.98204654,1.8140223,0.9457661
42,120,12,60,80,70.0,1.0157957,3.5037966,0.9457198
42,130,50,230,60,70.0,0.9879295,2.1122177,0.9456852
42,130,42,270,60,70.0,0.9847681,1.96312,0.9455057
50,120,50,230,40,70.0,0.9895166,2.2116163,0.9452843
50,120,50,280,60,70.0,0.9854919,2.0128193,0.9452355
42,140,32,310,40,70.0,0.9834654,1.9134208,0.945197
42,130,22,250,100,70.0,0.9774559,1.6152253,0.94515145
50,120,50,210,60,60.0,0.97640544,1.5655261,0.9450949
50,120,22,290,120,70.0,0.97440094,1.4661276,0.94507843
42,140,12,240,40,60.0,0.9823003,1.8637215,0.94502586
42,130,42,210,80,70.0,0.98126423,1.8140223,0.9449838
42,130,22,290,120,70.0,0.97330666,1.4164283,0.9449781
42,120,12,220,40,70.0,0.99315363,2.4104133,0.9449454
42,140,32,320,40,70.0,0.9821777,1.8637215,0.9449032
42,120,32,280,80,70.0,0.9881007,2.161917,0.94486237
42,130,32,250,100,70.0,0.97613513,1.5655261,0.9448246
42,130,42,250,80,70.0,0.98090917,1.8140223,0.9446287
