trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD
1613,3,59,18,335,0.959251528021038,0.2851029204325586,0.6624139113312332,-0.9004199888894007
1614,2,273,15,341,0.9778155004639358,0.2934372988491978,0.6749833818105266,-0.8446924806273648
1615,14,225,16,329,0.9002859820769751,0.254446236361213,0.6244360613520533,-0.8658761531321522
1616,5,77,17,97,0.733652658708444,0.17996311282097577,0.5187018224461072,-0.9067904208603416
1617,2,298,18,323,0.9941965440931517,0.3019424138942399,0.6860226401864439,-0.8446924806273648
1618,4,98,20,333,0.9674563746920178,0.2901448184701074,0.6693922025435604,-0.9318919265575114
1619,3,69,19,340,0.8649832998105206,0.23771623852855184,0.6023348464778031,-0.9633457596561538
1620,2,89,17,346,1.0575805893259935,0.3366951124563671,0.7266023905845522,-0.8733599515738538
1621,4,105,15,350,0.9676841250878166,0.289382119758796,0.6684249413716143,-0.9144071626935124
1622,2,100,14,350,0.9575276374909177,0.2838033068235961,0.6611647139273228,-0.9058337699097616
1623,3,92,16,345,0.8670103729139477,0.23794905357688023,0.6021492466740178,-0.9655888514445586
1624,5,101,6,345,0.9450493629064561,0.2786922810265904,0.6558223783938126,-0.9073616126995854
1625,4,92,15,346,0.936116517822658,0.27278110242821696,0.6472146353688604,-0.920547832150391
1626,3,92,16,345,0.8670103729139477,0.23794905357688023,0.6021492466740178,-0.9655888514445586
1627,2,95,14,350,0.9429728083665238,0.2764091294017512,0.651797602436131,-0.9320178185106468
1628,2,97,16,344,0.9267230899236675,0.26788875874272966,0.640872851354272,-0.9454983924149287
1629,6,112,17,341,0.9938616403693507,0.30256409780704474,0.6850904235944406,-0.8777666827759972
1630,3,108,16,345,0.9090973535691421,0.25899347795466876,0.629486981806619,-0.934610153255621
1631,4,87,17,350,0.894154888205524,0.2529048967972609,0.6219531628743816,-0.964752260836381
1632,3,89,15,339,0.9231710635016324,0.2665961832457109,0.6392877205712582,-0.9471174600704174
1633,18,97,17,341,0.9809943261312677,0.2960666674049155,0.6772618724151651,-0.8885358042596916
1634,2,285,16,339,0.9984467906844635,0.30426579108267515,0.6889419467334871,-0.8446924806273648
1635,4,85,17,343,0.9046016869437217,0.25741415088762176,0.6275195936412631,-0.9590583150160664
1636,5,277,15,337,0.9195350131622133,0.26436124004556194,0.6374504295484529,-0.8591579249123463
1637,35,293,18,350,0.9223500275037841,0.2655987624418823,0.6389111270196042,-0.8623274865228923
1638,20,89,17,350,0.9502854580232555,0.28149077769565345,0.6586332137676347,-0.9359935460094333
1639,2,105,16,343,0.9417866120379167,0.27537009495970644,0.6504157853027367,-0.9078525942187692
1640,3,289,13,336,0.9539367503776883,0.28210080173848495,0.6608740123055401,-0.8446924806273648
1641,5,282,18,344,0.9591293230989424,0.28473770005608734,0.6637666937057871,-0.8595119475615097
1642,2,96,17,336,0.9383835105876268,0.274002054382144,0.648661855768336,-0.9422553603068549
1643,4,85,16,340,0.8836952433364146,0.24649872012585772,0.6133596541364165,-0.9606258017181027
1644,3,271,18,335,0.9855833718356346,0.29732308140997654,0.6799253336665941,-0.8446924806273648
1645,2,297,18,346,0.9917573088975745,0.30171396254749094,0.6856985223355795,-0.8446924806273647
1646,6,266,17,340,0.9768242019871302,0.29274181663943266,0.6740528958552219,-0.8446924806273649
1647,3,115,15,333,0.9620570491122367,0.286149265984327,0.6646228995999431,-0.8945403627057712
1648,4,88,17,344,0.9128806554770048,0.26190050729449244,0.6333218873390836,-0.9557278934771641
1649,2,291,18,335,1.0156425656615493,0.3134580514748211,0.7006488627186761,-0.8446924806273648
1650,3,300,16,350,0.9789607675021555,0.29468730099139395,0.6766442117699688,-0.8446924806273648
