trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr,Penalized
86,40,286,48,338,0.9110737433998602,0.25839333004222165,0.636095614367038,-0.9017446733668238,-0.5013433212484155,4.50413645184353,0.8209910143629897
87,42,264,43,311,0.9173705671561064,0.2616206877822873,0.6407547819302457,-0.8446924806273649,-0.4842595194862861,3.0113369420896743,0.8571438283143129
88,24,281,46,252,0.8363337799910731,0.22010658132056826,0.5843735666328956,-0.8816179294098921,-0.6994041317235624,8.622204064957614,0.6638896986919207
89,44,323,49,282,0.8716199066524525,0.23847608632340345,0.6098112403188907,-0.90161690351341,-0.5906064551334314,6.820549484220202,0.7352089169680485
90,48,271,44,296,0.9075483038179787,0.2561664187784236,0.6336796255274695,-0.8446924806273648,-0.5691357061743892,1.4670615871718926,0.8782070720745409
91,48,246,44,295,0.9149078685130793,0.2597583829256631,0.638493149610353,-0.8446924806273648,-0.5899320929636518,2.599530180778266,0.862917264897514
92,46,292,47,304,0.9415561380206905,0.27381620302851206,0.6568932256682184,-0.8461903588385872,-0.44620678500820476,1.5700132774997448,0.9101558724706956
93,47,272,48,331,0.9297587592996371,0.26797578845869663,0.6487274952259338,-0.906153739064473,-0.4777472254820073,3.8349504647124912,0.8530597500053874
94,45,290,40,271,0.877646666815427,0.24090070028318,0.6130961683866446,-0.8625347789101855,-0.6467580592319064,5.01889490348279,0.7772687687457712
95,46,256,47,320,0.9248893670927592,0.2661723067622539,0.6466543427262891,-0.9264771143909976,-0.5338416155091066,3.4231437034010828,0.8564264930247375
96,48,297,49,284,0.8965124692257855,0.2507808740473241,0.6263731296077886,-0.8733876556683055,-0.5737052693439784,2.54805433561434,0.8455513825134987
97,49,304,45,306,0.9049064755822815,0.25554710565508065,0.6327478388112872,-0.8692338067557703,-0.4905830727371777,2.033295883975079,0.86424055790278
98,14,264,44,260,0.8974754906468945,0.25074938406005454,0.6263467707820248,-0.8446924806273647,-0.609656988205308,8.82810744561332,0.7209133417346281
99,46,338,42,291,0.8945390602426604,0.24993031933895815,0.6250638632231797,-0.9177921367996277,-0.5909590321235212,6.20283934225309,0.7704822733975986
100,44,229,49,252,0.9025751958415508,0.25304238765017484,0.6296690323202445,-0.8446924806273649,-0.7056657444749217,3.4231437034010828,0.8341123217735291
101,43,281,46,316,0.9433094062660498,0.27531981300582165,0.6586441074920909,-0.8766385992120366,-0.41758220510418853,2.4451026452864877,0.89440735336032
102,41,282,43,314,0.9393254116371361,0.2728037448770091,0.6555065058529608,-0.8447113713763329,-0.5010244761992263,2.3421509549586355,0.8924823925379635
103,44,273,47,312,0.9538160054565987,0.2805821815414997,0.6656175879972861,-0.8669128745222109,-0.4063247630187612,2.702481871106118,0.8997663680344764
104,45,243,47,277,0.9280512449474911,0.26646287477530417,0.6474319694376305,-0.8446924806273648,-0.5939251252260318,2.54805433561434,0.8770901582352043
105,47,242,47,279,0.9106346542284113,0.25765799688164015,0.6356940104506285,-0.8764079662630893,-0.5939245775775248,2.4965784904504136,0.860703084419403
106,49,271,49,294,0.9441948597789762,0.27483751143958446,0.6583943653123449,-0.8446924806273647,-0.5691357061743895,1.4155857420079665,0.9158831449388168
107,49,272,15,326,0.9187544692031568,0.26224010953420973,0.6423408385954393,-0.8446924806273646,-0.5747972836556718,7.283832090695537,0.7730778273892461
108,48,256,49,294,0.9430504098274779,0.27419192258868086,0.6575372012049012,-0.8455829236308611,-0.5899320929636518,2.1362475743029314,0.9003254583414193
109,49,261,49,313,0.9208825969383138,0.2637464481025793,0.643653693719352,-0.877261790311201,-0.4340480521254325,2.856909406597896,0.8637444088063558
110,46,64,50,240,0.7258893667927071,0.16737203338924966,0.5118299527339134,-0.9696220436969247,-0.8504446165105265,19.792462465529567,0.33004011748211576
111,48,251,46,294,0.9078018740254581,0.25636586579361076,0.6339595118490371,-0.8446924806273648,-0.5899320929636516,2.2906751097947096,0.8619883718295639
112,48,274,48,57,0.6507194761016776,0.13472103162591664,0.45772971213529723,-0.8397546994026762,-0.7986281230076528,52.06781738331121,-0.39063687156454663
113,44,266,49,302,0.9308301261358569,0.2683649354737674,0.6497412722050554,-0.8719876386748944,-0.588433848596488,2.3421509549586355,0.8839871070366843
114,44,255,50,303,0.9162127110304554,0.26111563512344294,0.6401663163440183,-0.8520751774384628,-0.5899320929636519,2.856909406597896,0.8590745228984975
115,40,266,49,286,0.9002223735096302,0.2524643833281939,0.6285935362863851,-0.866372970035794,-0.5884338485964874,3.0628127872536006,0.8389661177645582
116,43,295,47,272,0.8582150744648201,0.23173047797566748,0.6006303818473167,-0.8928048975570985,-0.59710948529213,4.50413645184353,0.7681323454279496
117,47,236,49,264,0.8898726820949273,0.24765064503687984,0.6224328056466254,-0.869462927305205,-0.5955495611353152,2.54805433561434,0.8389115953826405
118,45,283,46,308,0.9249838546773773,0.26515566644975985,0.6454412815725394,-0.8473847673972428,-0.46635023388398955,2.084771729139005,0.8832884200945972
119,20,250,48,323,0.9202407840452617,0.2637951431236325,0.6433012687814645,-0.925247487725367,-0.6339388834812109,6.666121948728424,0.7869183450706931
120,47,260,21,288,0.8790824588568545,0.24161270832403736,0.6146112770618639,-0.8783699209085757,-0.6212468742806152,8.107445613318355,0.7169335465904875
121,45,282,45,306,0.9023640513395669,0.25387822106439084,0.6304733464050761,-0.8575259462117351,-0.4733552380429563,1.9303441936472272,0.8637571674666223
122,41,292,46,344,0.9421104490772201,0.2743922372570202,0.657083709017485,-0.8983604454352394,-0.5083425788423385,4.401184761515678,0.8540867538469066
123,43,267,50,309,0.9301595819499204,0.2688645455041827,0.6503332888080021,-0.8808273278909543,-0.4437289823370888,3.2687161679093046,0.8647852585917344
124,45,276,47,331,0.9137665489206281,0.2597612778024114,0.6380273262371665,-0.8973970353598624,-0.5279349065605671,3.886426309876417,0.8360380227230998
125,46,304,48,301,0.9182516348179675,0.26243555408202535,0.641871037964581,-0.8809265451803107,-0.4605008819921015,1.9818200388111533,0.8786152340417444
126,49,286,45,292,0.909099029125031,0.2570077482145867,0.6348024619700642,-0.8570808776424413,-0.5737052693439784,1.3641098968440406,0.8818168311881502
127,42,256,49,312,0.9129064873684045,0.2597810417729196,0.6382649997465781,-0.8890496170332784,-0.5038399094654271,3.680522929220713,0.8392960287839902
128,38,281,46,281,0.908519522460671,0.25684077179378373,0.6345290548340333,-0.8611418185163602,-0.6309603199346817,2.908385251761822,0.8503518174254345
129,45,309,43,254,0.8187813716488364,0.21174693260101574,0.5729509686547585,-0.8737026368776286,-0.6297875472820719,10.063527729547545,0.6175108170578855
130,44,268,47,275,0.9231912500916528,0.2644670061177099,0.6449652836901025,-0.8662212665434558,-0.5884338485964877,1.5185374323358187,0.8928205014449364
131,28,267,2,271,0.8583629920172331,0.23382204730247325,0.6050932855688038,-0.8475763092454279,-0.6530145443055687,9.754672658563988,0.6632695388459533
132,44,275,47,275,0.909178285243615,0.2574566569368064,0.6355768050180453,-0.8659273930066194,-0.5691357061743894,1.6729649678275968,0.8757189858870631
133,41,292,48,298,0.9422432684664204,0.27414942938331666,0.657312684424702,-0.8446924806273648,-0.4605008819921014,2.2906751097947096,0.8964297662705262
134,43,293,50,264,0.9078039911434931,0.25625158065316245,0.6338251644488323,-0.8446924806273647,-0.6137053693302357,5.688080890613829,0.7940423733312165
135,41,247,48,298,0.9295391199129753,0.26743166151570286,0.6484657741384947,-0.8446924806273648,-0.5910560605264834,3.1142886324175265,0.8672533472646248
136,41,259,49,284,0.9099029023838312,0.2576302877034635,0.6355753707258845,-0.856592731387904,-0.591056060526483,2.9598610969257484,0.8507056804453162
137,47,299,48,290,0.889409191023415,0.24725546271910348,0.6216213384003387,-0.8608241239431478,-0.5588608643300093,2.033295883975079,0.8487432733439134
138,43,319,45,316,0.9262573949429789,0.26661060740945186,0.6472850839821674,-0.8864720459633941,-0.5243139417211866,1.003778980696558,0.9061818153290477
139,42,330,45,335,0.9059696732214632,0.2565169247952386,0.633909525516261,-0.9208914699145626,-0.5302433528413293,1.2096823613522623,0.881776025994418
140,39,321,25,81,0.6022952972370702,0.11616727744937538,0.4263554954603498,-0.8739628470516361,-0.7869087400123528,45.324481666836895,-0.30419433609966773
141,44,270,47,316,0.9588398079988806,0.28335305834051594,0.6691003835533641,-0.8777820704270741,-0.42776725637953616,2.753957716270044,0.9037606536734797
142,43,271,46,319,0.9521770240198695,0.27984375275484297,0.6645683279355362,-0.8520751774384628,-0.4162846556497988,2.908385251761822,0.894009318984633
143,40,272,43,312,0.9348305201294936,0.2705527897270239,0.6525084712051422,-0.850777643205951,-0.4936756369477836,2.651006025942192,0.8818103996106498
144,43,346,46,320,0.9513708136963361,0.279254588659839,0.6634808894013265,-0.9042976659464137,-0.4517542130991624,2.4965784904504136,0.9014392438873279
145,42,310,46,322,0.918487447542172,0.2630136566672314,0.6425120790971299,-0.9183473666343489,-0.48320327386758677,1.4155857420079665,0.8901757327020127
146,46,337,46,317,0.9332103567365886,0.2699293489140073,0.6515038151050404,-0.9249372092694385,-0.5881665946797868,1.775916658155449,0.8976920235734795
147,46,350,45,326,0.9410804854568974,0.27406841767626644,0.6567925964348437,-0.899781366425143,-0.4730067574174899,2.8054335614339703,0.8849718142282179
148,44,343,47,318,0.962286106084214,0.2849939449943424,0.6709532383184297,-0.8923599950970171,-0.4917449125004606,2.1362475743029314,0.9195611545981555
149,46,341,45,318,0.9121459014702658,0.2595243913306726,0.6379271499020924,-0.9159054823820681,-0.5791417336250272,2.1877234194668573,0.8683914330809286
150,43,331,46,328,0.9016004871739727,0.2543760146859806,0.6310858157870872,-0.9286846896171878,-0.561500619713908,1.1067306710244103,0.8794658737534845
151,44,342,46,339,0.9407894309084692,0.27373952868638884,0.6562652392493146,-0.9090379209111483,-0.5282049804605166,1.0552548258604841,0.9196843343912595
152,44,341,47,333,0.9291552833855959,0.2677054186805836,0.6483857293522535,-0.907173823894311,-0.49196182248658404,1.3126340516801145,0.9029026023519936
153,47,342,47,341,0.9425102702079552,0.2746970530135806,0.6575429416757892,-0.8958906005891958,-0.4435289564861946,0.7978756000408539,0.9265527582071381
154,47,342,47,341,0.9425102702079552,0.2746970530135806,0.6575429416757892,-0.8958906005891958,-0.4435289564861946,0.7978756000408539,0.9265527582071381
