slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
54,16,3,0.252070,0.663625,0.916404,0.390904,-0.908575,-0.761649,4.538690,243,4332
54,17,3,0.252406,0.664420,0.917797,0.390729,-0.908914,-0.767204,4.650756,249,4365
54,18,3,0.233444,0.624914,0.858773,0.391874,-0.905227,-0.757781,4.538690,243,4365
54,19,3,0.219638,0.596066,0.818253,0.392047,-0.923584,-0.776280,4.538690,243,4436
54,20,3,0.205779,0.566793,0.776273,0.392391,-0.939380,-0.808297,4.613401,247,4993
54,21,3,0.213011,0.581436,0.797134,0.393688,-0.933375,-0.794832,4.576045,245,5006
54,22,3,0.210420,0.575971,0.789905,0.393695,-0.906349,-0.745120,4.538690,243,5132
54,23,3,0.189677,0.531519,0.726995,0.395349,-0.915702,-0.770576,4.576045,245,5240
54,24,3,0.167458,0.483699,0.656698,0.398534,-0.945795,-0.787184,4.576045,245,6490
54,25,3,0.182914,0.516482,0.704065,0.398991,-0.916744,-0.680495,4.501334,241,5260
54,26,3,0.177183,0.504211,0.686159,0.399625,-0.907719,-0.700123,4.463979,239,5263
54,27,3,0.190466,0.531629,0.726387,0.401356,-0.878503,-0.661071,4.538690,243,5015
54,28,3,0.191342,0.533506,0.729017,0.401282,-0.879970,-0.687692,4.463979,239,4492
54,29,3,0.192276,0.535603,0.731766,0.400892,-0.883030,-0.759631,4.613401,247,4470
54,30,3,0.196259,0.543318,0.743731,0.402389,-0.873864,-0.764756,4.445301,238,4484
54,31,3,0.181513,0.512710,0.698419,0.403153,-0.827794,-0.783038,4.445301,238,4470
54,32,3,0.186108,0.522527,0.711986,0.402356,-0.835902,-0.757314,4.445301,238,4471
54,33,3,0.161395,0.470507,0.637242,0.401253,-0.901399,-0.775668,4.445301,238,6490
54,34,3,0.160211,0.467961,0.634477,0.400877,-0.920001,-0.756592,4.445301,238,6414
54,35,3,0.151116,0.448639,0.604920,0.404059,-0.928552,-0.807985,4.557367,244,6390
54,36,3,0.151661,0.449799,0.606278,0.404532,-0.927396,-0.803813,4.632078,248,5006
54,37,3,0.147895,0.441244,0.596681,0.407240,-0.967036,-0.883744,4.706789,252,5247
54,38,3,0.154069,0.454186,0.616150,0.408312,-0.962511,-0.873871,4.632078,248,5239
54,39,3,0.141997,0.428154,0.581457,0.409346,-0.960588,-0.863846,4.576045,245,5260
54,40,3,0.126307,0.395581,0.533587,0.413019,-0.955100,-0.832161,4.725467,253,6490
54,41,3,0.132149,0.408043,0.551532,0.414243,-0.951384,-0.855715,4.912244,263,6389
54,42,3,0.125583,0.394070,0.532332,0.415101,-0.945139,-0.863704,5.024311,269,6445
54,43,3,0.127905,0.399035,0.539039,0.415031,-0.945210,-0.846905,5.211088,279,6420
54,44,3,0.120867,0.384849,0.518935,0.419268,-0.945309,-0.846654,5.472576,293,6410
54,45,3,0.128296,0.400656,0.540649,0.420047,-0.945946,-0.852408,5.472576,293,6374
54,46,3,0.123573,0.390583,0.528268,0.420772,-0.938140,-0.789386,5.771420,309,6413
54,47,3,0.111976,0.365898,0.494365,0.420851,-0.957888,-0.860674,6.107619,327,6490
54,48,3,0.078722,0.294882,0.395739,0.423151,-0.967920,-0.902358,6.705307,359,6490
54,49,3,0.098402,0.337581,0.453987,0.423057,-0.953141,-0.872309,7.377705,395,6490
54,50,3,0.080736,0.300040,0.402854,0.425513,-0.954189,-0.872172,8.087459,433,6490
55,2,3,0.298107,0.772453,1.072763,0.374056,-0.871388,-0.746374,9.768455,523,4781
55,3,3,0.287533,0.749796,1.041521,0.374791,-0.876324,-0.756108,8.461014,453,4794
55,4,3,0.277406,0.728462,1.012949,0.374951,-0.835212,-0.720592,7.751260,415,4993
55,5,3,0.268926,0.709575,0.984843,0.376248,-0.829969,-0.661084,7.078862,379,4262
55,6,3,0.293505,0.758080,1.058826,0.378609,-0.804569,-0.649923,6.780018,363,2728
55,7,3,0.312901,0.797777,1.118394,0.378216,-0.713617,-0.549868,6.294397,337,960
55,8,3,0.278478,0.726427,1.010196,0.379620,-0.817250,-0.654879,6.070264,325,3801
55,9,3,0.286795,0.741928,1.032821,0.381293,-0.801663,-0.694501,5.771420,309,2744
55,10,3,0.288841,0.744093,1.038080,0.383335,-0.790300,-0.684397,5.435221,291,1745
55,11,3,0.272070,0.708403,0.983361,0.385308,-0.844875,-0.709766,5.173733,277,3466
55,12,3,0.277188,0.717934,0.999072,0.386268,-0.839696,-0.700077,5.061666,271,3440
55,13,3,0.286936,0.736572,1.025777,0.387547,-0.818947,-0.656027,4.874889,261,2721
55,14,3,0.257245,0.675845,0.936129,0.388323,-0.836857,-0.690054,4.800178,257,2721
55,15,3,0.258890,0.678152,0.938750,0.389934,-0.876916,-0.679113,4.576045,245,2728
55,16,3,0.252089,0.663905,0.917340,0.390524,-0.903786,-0.754098,4.426623,237,3467
55,17,3,0.245566,0.650772,0.898057,0.390178,-0.898121,-0.739619,4.576045,245,4316
55,18,3,0.223411,0.603809,0.828739,0.392371,-0.908009,-0.730684,4.538690,243,4481
55,19,3,0.219642,0.596179,0.818384,0.391842,-0.917879,-0.759578,4.501334,241,4471
55,20,3,0.217643,0.591866,0.811894,0.392156,-0.927031,-0.775295,4.426623,237,4493
55,21,3,0.210484,0.576112,0.790379,0.393644,-0.920156,-0.754124,4.501334,241,5120
55,22,3,0.200614,0.554789,0.759856,0.395036,-0.923237,-0.791082,4.389268,235,5247
55,23,3,0.192870,0.538147,0.736520,0.395763,-0.909210,-0.731148,4.389268,235,5152
55,24,3,0.179247,0.508840,0.692294,0.398702,-0.926604,-0.716230,4.389268,235,6490
55,25,3,0.184941,0.520767,0.709861,0.399065,-0.909095,-0.670497,4.463979,239,5258
55,26,3,0.176075,0.501994,0.683143,0.399030,-0.891928,-0.708203,4.351912,233,5250
55,27,3,0.192454,0.536095,0.732879,0.400338,-0.867908,-0.684991,4.314557,231,5150
55,28,3,0.182203,0.514496,0.702203,0.400568,-0.890906,-0.680648,4.351912,233,5151
55,29,3,0.194157,0.539089,0.738071,0.401869,-0.865238,-0.751549,4.239846,227,3511
55,30,3,0.190974,0.532600,0.727188,0.402566,-0.824361,-0.753715,4.277201,229,3482
55,31,3,0.183423,0.516886,0.705243,0.402067,-0.834641,-0.765008,4.333235,232,4455
55,32,3,0.167795,0.484030,0.656982,0.401854,-0.900941,-0.789104,4.407945,236,5011
55,33,3,0.172670,0.494670,0.672263,0.400428,-0.874994,-0.745185,4.370590,234,4990
55,34,3,0.152199,0.450780,0.609110,0.402665,-0.907163,-0.769971,4.370590,234,6360
55,35,3,0.141321,0.427454,0.575903,0.404276,-0.916913,-0.787504,4.389268,235,6415
55,36,3,0.144474,0.434358,0.584989,0.403955,-0.921673,-0.779967,4.538690,243,6365
55,37,3,0.160833,0.468537,0.636256,0.407921,-0.936754,-0.795379,4.594723,246,4493
55,38,3,0.155880,0.458006,0.622109,0.407365,-0.945191,-0.783360,4.613401,247,4990
55,39,3,0.145813,0.436384,0.592453,0.409062,-0.946600,-0.845840,4.613401,247,5009
55,40,3,0.142065,0.429007,0.581481,0.413206,-0.949598,-0.842559,4.650756,249,6360
55,41,3,0.124240,0.391073,0.528236,0.413963,-0.962784,-0.889549,4.650756,249,6490
55,42,3,0.120255,0.382672,0.516506,0.415479,-0.950654,-0.860280,4.762822,255,6490
