trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD,Penalized_Score
119,19,326,22,319,0.9516934606739149,1.8107375271149675,0.2797029247657943,0.6572956280847286,-0.8446924806273647,0.9516934606739149
120,14,318,18,329,0.9961642073204964,1.9473969631236443,0.3027647255917012,0.6871180583068072,-0.8446924806273648,0.9961642073204964
121,14,318,18,326,0.9918186637111477,2.0840563991323213,0.30037820184835184,0.6840867690250794,-0.8446924806273648,0.9918186637111477
122,13,317,20,315,0.9809678556267407,2.9040130151843817,0.2948029262222229,0.6770749200548135,-0.8446924806273649,0.9809678556267407
123,12,317,21,325,0.984023472071481,3.1773318872017353,0.2963652763017881,0.678880088210483,-0.8446924806273648,0.984023472071481
124,12,314,20,315,0.9544926843658594,3.3139913232104123,0.2811620353132702,0.659367064413759,-0.8446924806273648,0.9544926843658594
125,8,302,20,303,0.9050821146923573,4.8855748373101955,0.25658260440755387,0.6271569413296164,-0.8656233742249503,0.9050821146923573
126,11,297,21,327,0.9774690796179657,3.1773318872017353,0.2934496413977845,0.6750405562591103,-0.8446924806273648,0.9774690796179657
127,11,306,23,324,0.9435459025636892,3.655639913232104,0.2766122575358716,0.653277471685251,-0.8478947574094227,0.9435459025636892
128,13,299,35,310,0.9205359872702094,4.543926247288503,0.2649942894795232,0.6378665489312608,-0.892889004720167,0.9205359872702094
129,10,317,21,321,0.9737189729452321,3.7239696312364425,0.29108877172398673,0.6720572612974216,-0.8446924806273647,0.9737189729452321
131,11,323,19,329,0.9785883569679711,2.9040130151843817,0.29388408310264613,0.6756151728458986,-0.8446924806273648,0.9785883569679711
132,11,310,17,332,0.9789312791163498,2.425704989154013,0.29363052666484357,0.6754132697251012,-0.8446924806273648,0.9789312791163498
133,8,319,17,340,1.00404543153398,3.3139913232104123,0.30700323964694665,0.6924874793163395,-0.8446924806273646,1.00404543153398
134,7,312,17,341,0.9997875136552666,3.8606290672451196,0.3048203584615885,0.6897094587777186,-0.8446924806273649,0.9997875136552666
135,4,313,15,343,0.9413041726151627,4.133947939262473,0.27544803610099033,0.6517412774162937,-0.8446924806273647,0.9413041726151627
136,7,310,17,336,1.002946255697334,3.8606290672451196,0.3064254795559789,0.6917397377183345,-0.8446924806273648,1.002946255697334
137,7,330,13,339,0.9463592980914953,2.630694143167028,0.277815958023808,0.6553021540223142,-0.8446924806273648,0.9463592980914953
138,2,319,16,346,0.9666783741531305,4.9539045553145336,0.28863805393692155,0.6688638682329663,-0.8446924806273647,0.9666783741531305
139,9,306,15,338,0.9874365511869297,2.97234273318872,0.2981797035879288,0.6812492040424054,-0.8446924806273647,0.9874365511869297
140,8,303,14,338,0.960207389385488,3.1773318872017353,0.2850700757908424,0.6648084733047817,-0.8446924806273648,0.960207389385488
141,7,317,17,335,0.9912114232368793,3.450650759219089,0.30041157261221096,0.6840473076221465,-0.8446924806273647,0.9912114232368793
142,7,307,17,346,1.032533967544647,4.338937093275488,0.32183998655805923,0.7114022962733101,-0.8446924806273649,1.032533967544647
143,5,325,15,350,0.9985843564704303,4.065618221258134,0.3042255802619904,0.6889397684610945,-0.8446924806273647,0.9985843564704303
144,5,325,15,350,0.9985843564704303,4.065618221258134,0.3042255802619904,0.6889397684610945,-0.8446924806273647,0.9985843564704303
145,5,324,12,350,0.9765396597239757,3.1090021691973972,0.29385534616281483,0.6761865770582905,-0.8446924806273647,0.9765396597239757
146,6,306,11,343,0.9378276381607148,3.5189804772234274,0.27384301007240963,0.6501556253892568,-0.8446924806273648,0.9378276381607148
147,5,333,15,346,0.9467728130712001,3.9289587852494576,0.27842290601556385,0.6556622591452989,-0.8446924806273648,0.9467728130712001
148,3,312,14,350,0.973425161935614,4.8855748373101955,0.2912355151475545,0.6721196456265627,-0.8446924806273648,0.973425161935614
149,7,328,16,338,0.9796065269781029,3.1090021691973972,0.2943822247030732,0.6762819821155909,-0.8446924806273649,0.9796065269781029
