trial,base_fast,base_slow,vol_lookback,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
61,43,147,111,0.4903826847016284,0.9378639725034986,0.9645251072405591,0.2846335801226618,0.6747682517043531,-0.8446924806273648,-0.5691357061743897,1.3330567368530235
62,50,128,113,0.33697982195251885,0.9581558489418003,0.9889991224611447,0.2964648882922094,0.6918912796728364,-0.8146253709804262,-0.5737052693439784,1.5421636759672235
63,50,123,117,0.0016646555008187347,0.8362897103180392,0.8723606573152387,0.24006448973367678,0.6146957413566131,-0.9498824273967597,-0.7401351072069178,1.8035473498599732
64,45,112,108,0.3556480514315341,0.8850373688043274,0.9231993851926689,0.2631159759455093,0.6467757301039216,-0.8140645198836751,-0.5251771161492662,1.908100819417073
65,49,132,50,0.30689680039767286,0.9693673992890832,0.9981196034172857,0.301621362782617,0.6963143281017036,-0.873090496365708,-0.5744842875864503,1.4376102064101235
66,49,170,46,0.3051800429735373,0.9135712058943161,0.9391868059358055,0.2724571122770718,0.657150275552003,-0.7987010639536839,-0.6096207498075202,1.2807800020744737
67,47,159,54,0.10329159557476641,0.9684409924759212,0.9971931966041236,0.3012849566050151,0.697388592231277,-0.806868105118437,-0.5910560605264832,1.4376102064101235
68,47,151,53,0.08063775844979805,0.8806951972623864,0.9084018666950179,0.25665582214366567,0.6372767845123595,-0.8233551048435614,-0.5691357061743896,1.3853334716315735
69,50,88,36,0.192157011807046,0.6852563925465827,0.7422380334552021,0.1770486330913732,0.5227628699066579,-0.9382274122534459,-0.8273682848592027,2.849082045430972
70,34,137,55,0.12802342377564546,0.9097643004677594,0.9426986433782458,0.27320584758421096,0.6607010983866374,-0.8410723348564714,-0.5906064551334314,1.6467171455243232
71,46,162,47,0.21245068684641283,0.9831020478387604,1.0118542519669629,0.3089304223256326,0.7061364250055572,-0.8455088307569565,-0.589932092963652,1.4376102064101235
72,48,185,44,0.199502283226755,0.9136833552819843,0.9382534206279027,0.2720181998240907,0.6566251933175673,-0.7987010639536839,-0.6096207498075201,1.2285032672959237
73,46,115,67,0.32839342690044665,0.9216157275423945,0.956641139844023,0.28009805143735167,0.6696516216204546,-0.8124729195829322,-0.5212342091153435,1.7512706150814232
74,37,132,38,0.12874799256596503,0.972699263022134,1.0035425365414785,0.3023304536352953,0.7006959200043033,-0.8039600173108393,-0.5906064551334314,1.5421636759672235
75,41,161,41,0.10406764312512161,0.8950723928682044,0.9269612010831199,0.26664817198377166,0.650611766784746,-0.8315325642441269,-0.5910560605264834,1.5944404107457733
76,49,105,34,0.24589206222890853,0.8495618843667645,0.8929515742329609,0.24886239295086598,0.6257782963664488,-0.9149951897154819,-0.7270311010143606,2.1694844933098225
77,38,173,57,0.1538517890400308,0.8689171278808575,0.896623797313489,0.25235550581395905,0.6307836421080962,-0.8711554265890766,-0.5899320929636518,1.3853334716315735
78,43,143,49,0.03836074601199768,0.9691268307056546,0.9978790348338571,0.29945627409949505,0.6966076828929579,-0.7987010639536838,-0.595561676493116,1.4376102064101235
79,46,203,49,0.06887823395840378,0.8998362410202714,0.9233607716706188,0.26471043070347644,0.6468549055643936,-0.8007906355462584,-0.5981940265640973,1.1762265325173737
80,43,142,49,0.007040615368771319,0.9350760797003572,0.9638282838285597,0.28376825957012164,0.6758834393017364,-0.8537491316518717,-0.5955616764931164,1.4376102064101235
81,40,150,30,0.1799357443712036,0.9267388689768349,0.9596732118873214,0.28291380936243526,0.6727984113027747,-0.7987010639536839,-0.5691445091601728,1.6467171455243232
82,45,121,60,0.3843313133602779,0.9186588120965156,0.954729759093715,0.27998052787911076,0.6687838050520915,-0.8848529948128312,-0.5976428506123066,1.8035473498599732
83,37,132,45,0.04199421580101673,0.8596906024133905,0.8915794106283059,0.25056605750552485,0.6306806452311163,-0.9419011537773061,-0.7310117567472876,1.5944404107457733
84,7,142,40,0.234269039511282,0.6888629729523478,0.7510722873388223,0.1863550907737752,0.5368369540487706,-0.966300652247051,-0.8662113267118878,3.110465719323722
85,49,130,52,0.3094607995906167,0.9832204825666736,1.013018221390447,0.3092292518928943,0.7063138726061686,-0.866057644691945,-0.5737052693439783,1.4898869411886735
86,47,161,50,0.30630660451693087,1.006929884962232,1.0325454850037215,0.31912672441815837,0.7193262765685684,-0.7987010639536839,-0.5899320929636516,1.2807800020744737
87,47,161,49,0.11945537257162435,1.0154286928995184,1.04313536233215,0.32387815340770487,0.7257368499934777,-0.7987010639536838,-0.5899320929636518,1.3853334716315735
88,49,187,50,1.4019951975333553,0.8603247637934371,0.8995323148773496,0.24982967615640805,0.6235835074677022,-0.9609119738422274,-0.6938587898732249,1.960377554195623
89,47,178,43,0.3133353567625169,0.9301067917794146,0.959904530603188,0.282909224270687,0.6702962447681419,-0.8525740364243735,-0.6096207498075203,1.4898869411886735
90,44,223,47,0.15924751951164529,0.8768992009736601,0.9014692663195786,0.2529973635086118,0.6299633081110811,-0.8694180354619114,-0.6513467913808934,1.2285032672959237
91,48,162,52,0.12334667687149323,1.0073962433403907,1.0371939821641643,0.3206389954955611,0.7216726291947636,-0.798701063953684,-0.5899320929636518,1.4898869411886735
92,48,162,51,0.044201012542395224,0.9263603045656591,0.9530214393027195,0.2788669067555636,0.6677016108180422,-0.8087109177290555,-0.5899320929636518,1.3330567368530235
93,49,151,58,0.2745438748067807,0.969280841461941,0.9948964415034305,0.2997606874158505,0.6938739407630977,-0.8130038769597764,-0.5691357061743894,1.2807800020744737
94,49,152,57,0.27946975802672686,0.9639059214811811,0.9905670562182416,0.29770113184939095,0.6912278102945337,-0.8313415097041172,-0.5691357061743895,1.3330567368530235
95,46,174,59,0.21488646289653693,0.9353824645311669,0.9589069951815143,0.28172057882808876,0.6698601905351671,-0.7987010639536839,-0.5987209842254272,1.1762265325173737
96,30,166,63,0.40686906613561974,0.8769296098761763,0.9098639527866628,0.25861914399921604,0.6396961054612863,-0.8621395236525337,-0.5884338485964878,1.6467171455243232
97,48,119,75,0.26408458827192405,0.9314098973632947,0.9653897749693522,0.2840872454847432,0.6753484873940903,-0.8178292797676054,-0.5409044078597225,1.6989938803028732
98,33,135,65,0.12699494233874223,0.8799025293521476,0.9159734763493471,0.2606132724400536,0.6435465977221255,-0.8720388200071657,-0.6293988600234266,1.8035473498599732
99,50,195,37,0.17113469471452017,0.9140306410726998,0.9396462411141893,0.272761023679424,0.657743189476413,-0.8063242283497123,-0.5981940265640975,1.2807800020744737
100,45,103,52,0.5778880494962132,0.8520647957190757,0.8965000202808431,0.250731016755837,0.6286681338563921,-0.8896770886038636,-0.5987359485961583,2.2217612280883725
101,47,144,47,0.23375499757776386,0.9541278055808498,0.9797434056223392,0.2916752014745496,0.6833508614565577,-0.8200419234651606,-0.5906064551334316,1.2807800020744737
102,42,156,42,0.11904019493236198,0.8701150604642179,0.9009583339835624,0.2543065574996639,0.6338176722856697,-0.886162324412325,-0.5884338485964877,1.5421636759672235
103,44,138,56,0.30909563829804126,0.9538065541988766,0.9815132236315081,0.294082386910669,0.6877514874868217,-0.8101178522824335,-0.5906064551334314,1.3853334716315735
104,49,109,39,0.05353476490719114,0.818205809344365,0.8584588951238485,0.23240393626624578,0.6032882892927072,-0.9433699045913039,-0.7791997104092668,2.012654288974173
105,46,256,48,0.19118991857513692,0.8455854839321789,0.8670189451913844,0.23600807833239745,0.6069980812228498,-0.9583095587123837,-0.5910560605264834,1.071673062960274
106,43,126,52,0.3698927380110699,0.9386919377911994,0.9737173500928279,0.2898240330212436,0.6817006093435852,-0.8289532074903624,-0.5494531299415641,1.7512706150814232
107,36,149,20,0.14202809600618754,0.8730026558896894,0.9101191375824599,0.25868841381261287,0.6399912026041759,-0.8622295752584727,-0.6017558638605722,1.855824084638523
108,39,165,33,0.26765449543706993,0.9198962501768666,0.9496939890006401,0.2775826286511025,0.6640927076379657,-0.7987010639536838,-0.5899320929636517,1.4898869411886735
109,48,326,59,0.09439426015650353,0.9135722625466455,0.927686980936854,0.2676288911894975,0.6483656227068404,-0.9522054790512939,-0.5026631462363833,0.7057359195104242
110,19,181,45,0.42514723874631516,0.8901675451392612,0.9283295615276027,0.2675459971797267,0.6522273255214353,-0.8330378374227869,-0.5162940730955818,1.908100819417073
111,47,158,54,0.1019693430257427,0.9637783092321451,0.9904394439692056,0.29770548079107195,0.692684591267258,-0.7987010639536838,-0.5910560605264836,1.3330567368530235
112,49,141,54,0.02012368202517585,0.9142355145728666,0.941942184005498,0.2723270988989366,0.6592741211550339,-0.8165377163690208,-0.5906064551334312,1.3853334716315735
