base_enter,spread,s4_gap,base_exit,exit_decay,min_sortino,NDX 40yr_sortino,NDX 40yr_cagr,NDX 40yr_sharpe,NDX 40yr_mdd,QQQ 27yr_sortino,QQQ 27yr_cagr,QQQ 27yr_sharpe,QQQ 27yr_mdd,TQQQ 15yr_sortino,TQQQ 15yr_cagr,TQQQ 15yr_sharpe,TQQQ 15yr_mdd
148,4,6,125,6,0.9875876909770682,0.9875876909770682,0.22807263498055663,0.6922320491021853,-0.5313577596493766,1.2645528382825197,0.2951070820133308,0.8851605506991054,-0.5727941231423042,1.6462683755895506,0.4491747386056957,1.1493085930926958,-0.3404291432240213
148,4,6,125,7,0.9810136441584186,0.9810136441584186,0.22607284894498036,0.6870811162250077,-0.5313577596493763,1.260836519897746,0.29429617305742695,0.8824894098874199,-0.5727941231423042,1.617211133064034,0.4407380526814202,1.131877264222969,-0.3404291432240213
148,4,6,125,8,0.9969667828622883,0.9969667828622883,0.23081886244721317,0.6979694448816046,-0.531357759649376,1.2716340880122947,0.2975980085644052,0.8888064789540489,-0.5727941231423044,1.6292900914914255,0.4457662840597174,1.1397717360121882,-0.3404291432240213
148,4,6,130,3,0.9771646259587243,0.9771646259587243,0.22715360321642608,0.686994608876154,-0.5313577596493758,1.2887861192371501,0.30242833231752453,0.8999652698467256,-0.5727941231423044,1.6205078574856138,0.44354472305395487,1.1331998865135913,-0.34042914322402107
148,4,6,130,4,0.9454143574191662,0.9454143574191662,0.2187199253326464,0.6660039480420711,-0.5313577596493761,1.2590952982666956,0.29494629393199,0.8818690332421488,-0.5727941231423044,1.5955248055415512,0.436026134465862,1.1185605365589617,-0.3404291432240212
148,4,6,130,5,0.9580580780392363,0.9580580780392363,0.2220876431697052,0.6740021088384978,-0.5313577596493766,1.2477758994873298,0.2920054427522849,0.8745091363626661,-0.5727941231423044,1.589082191054303,0.4341684086902893,1.1146582196773063,-0.3404291432240212
148,4,6,130,6,0.9672542992570987,0.9672542992570987,0.22472026799375433,0.6801162718091938,-0.5313577596493766,1.2745299240928567,0.30004274263324127,0.8919958225551649,-0.5727941231423042,1.6242439666378068,0.4474354935627216,1.137390933372352,-0.34042914322402085
148,4,6,130,7,0.9613197948563371,0.9613197948563371,0.22364783973971192,0.6761824115504094,-0.5360754906794004,1.2719651467718465,0.2995851017394995,0.8903506123633883,-0.5727941231423042,1.6219267275734846,0.44668733548951045,1.1359025272728858,-0.3404291432240212
148,4,6,130,8,0.9786119876243683,0.9786119876243683,0.22873743325112206,0.6876342633635407,-0.536075490679401,1.2973093684590757,0.30727394738649916,0.9068954998688822,-0.5727941231423042,1.617289609537272,0.44563009314260227,1.1331549126392733,-0.3404291432240215
148,4,6,135,3,0.9585563868400946,0.9585563868400946,0.2261153371411464,0.6762896397958217,-0.53359122002525,1.2454772614523495,0.29370196600521226,0.873779761816406,-0.5749213815342656,1.598671904712268,0.4398674494830739,1.1218834545079324,-0.3404291432240212
148,4,6,135,4,0.9450706032179187,0.9450706032179187,0.22280077459241765,0.6677631088702346,-0.5410198834310487,1.2617419693624654,0.2986092949917887,0.8845310231786888,-0.5749213815342656,1.6188983067715834,0.44740402415288183,1.1348048021002037,-0.3404291432240212
148,4,6,135,5,0.9596168679446558,0.9596168679446558,0.22712970160361423,0.6770659531404838,-0.5410198834310486,1.2603551147092722,0.29823106997100157,0.8836260702395966,-0.5749213815342653,1.6180158645386837,0.44728971430497544,1.1343524124334645,-0.3404291432240206
148,4,6,135,6,0.9666885855018374,0.9666885855018374,0.22921908522430678,0.6814332537427156,-0.5410198834310491,1.287916931455728,0.30655574994550894,0.901593202436865,-0.5749213815342653,1.6529608704776313,0.46035745944098383,1.156794942529751,-0.3404291432240206
148,4,6,135,7,0.9617369082262992,0.9617369082262992,0.22790783146845128,0.6781178607656768,-0.5410198834310489,1.2788712745046276,0.30400666752179584,0.8954796431231064,-0.5749213815342655,1.624112421196913,0.4510139991048654,1.1382436184048017,-0.34042914322402096
148,4,6,135,8,0.9546379259164081,0.9546379259164081,0.2263486610701746,0.6739394095912334,-0.5441331792139004,1.2716344467050351,0.3023139552591383,0.8906292837164252,-0.5749213815342655,1.6045485429445263,0.44502541528870365,1.1257438670074005,-0.34042914322402096
