trial,base_fast_low,base_slow_low,base_fast_high,base_slow_high,vol_lookback,vol_threshold_pct,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
936,47,159,25,179,82,51.22244348035091,0.31747457300638804,0.984740833903481,0.9980714012720112,0.3018812957365824,0.6994189319406696,-0.8526896099052887,-0.47887654293946114,1.3330567368530235
937,41,147,21,167,91,58.39438826080012,0.4851578049941514,0.9936778077469852,1.011713281245585,0.3084689965661318,0.7087381697899323,-0.8595184235310338,-0.487821409203257,1.8035473498599732
938,44,166,18,195,96,59.32639034352807,0.5776789480942321,1.022373356482617,1.0372722258945037,0.3210937554431297,0.7231750152295398,-0.8446924806273647,-0.41379307126154063,1.4898869411886735
939,45,153,36,202,89,55.23185201525341,0.4558826172870445,0.9225602652883237,0.9364136000046395,0.27002288486552484,0.65310429319715,-0.9061510559001632,-0.5899320929636518,1.3853334716315735
940,46,174,23,186,87,56.51866029883852,0.518631882985046,1.0242329556899377,1.038609057754039,0.3218463797937354,0.7242744099518064,-0.8446924806273647,-0.486243947111199,1.4376102064101235
941,43,139,19,173,85,57.61492729945719,1.8762583982863341,0.7805991742092032,0.815363202836939,0.20738548621495823,0.5668770463954048,-0.9609119738422273,-0.6139907724479848,3.4764028627735715
942,48,161,22,214,75,55.90010687583921,0.421519030521021,1.0215390011795982,1.0348695685481284,0.3203021769326997,0.7214976407236044,-0.8446924806273648,-0.4647878585102535,1.3330567368530235
943,45,169,24,177,73,56.9210781727331,0.9890605501414257,0.9107106955299435,0.9245640302462593,0.2623755312032512,0.6402991565009698,-0.9609119738422274,-0.5397134251110424,1.3853334716315735
944,44,159,20,185,90,58.128542101706856,0.38482125930465916,1.0021110738673813,1.0196237800181955,0.31284200450035504,0.7141041106511224,-0.8576344582409048,-0.5478435980075916,1.7512706150814232
945,42,188,21,161,88,60.16366122302224,0.5487035176831698,0.9454149025163089,0.9634503760149086,0.2847775788351421,0.6752527355395405,-0.8446924806273648,-0.46986779892220887,1.8035473498599732
946,47,165,17,167,82,55.53427851177882,0.4773975083628945,0.9858077357553839,1.0027976745584126,0.30368241111221983,0.7025634149751078,-0.8177701432487282,-0.5334248715514847,1.6989938803028732
947,44,179,23,196,94,61.200772872207295,0.32906439984770697,0.9417192181330085,0.9555725528493243,0.28107859209220964,0.6700545385398745,-0.8446924806273648,-0.5067068410475795,1.3853334716315735
948,46,156,22,188,80,59.0786014187985,0.4329290567987367,1.0236031829340895,1.0395475870415471,0.32168798055842096,0.7245180467552422,-0.8446924806273647,-0.41905089685632,1.5944404107457733
949,45,171,19,205,91,57.301338846439386,1.7987025188117123,0.7604063841127346,0.7878516698714734,0.19335333848641945,0.5487506169138033,-0.9609119738422274,-0.6633252694201266,2.744528575873872
950,47,149,21,177,86,54.86498816553676,0.5017850274152392,1.0030006049883402,1.0173767070524415,0.30987399783017056,0.7093463483761017,-0.8446924806273649,-0.46809255952116613,1.4376102064101235
951,42,163,22,171,84,56.30166671443745,0.6089732697688,0.9781250599503392,0.9935466967100114,0.29853987525694325,0.6934901637940194,-0.8446924806273647,-0.5117829273368288,1.5421636759672235
952,44,174,25,181,77,62.28992820175524,0.2752842465273265,0.9287839984410878,0.9436828678529746,0.27571646048788345,0.6635939256640896,-0.8335741358361609,-0.5812027503404763,1.4898869411886735
953,45,155,20,191,89,58.02418160603385,0.37374355226714573,1.0127085485617573,1.028652952669215,0.31709919063786063,0.7198820751589895,-0.8619083660692868,-0.47940126806263783,1.5944404107457733
954,43,166,23,157,92,56.91565504877133,0.44424083878627313,0.971358551715441,0.9883484905184697,0.29732935530920757,0.6933472673029082,-0.8451688694803545,-0.5023022554944649,1.6989938803028732
955,49,160,21,184,88,58.847041226567,0.5318310399050452,0.9548040658313552,0.9702257025910275,0.287895793709269,0.6793464499548251,-0.8595879222560445,-0.47508277329509196,1.5421636759672235
956,46,181,20,199,79,56.0209291070957,0.40493255015812735,0.9898729060748913,1.0042490081389925,0.30459443496905925,0.701301432618108,-0.8446924806273647,-0.5874774030206016,1.4376102064101235
957,43,57,24,176,86,59.73345279711608,0.47999347806617626,0.8508820521050907,0.8890440684934322,0.245373894417096,0.6226671420415467,-0.8815247255176483,-0.7126363233576303,3.816201638834146
958,45,169,22,165,82,57.868205401947904,0.34208419759567954,1.0055157103815593,1.0209373471412315,0.31289568442657667,0.7147964245917121,-0.8134338742092939,-0.4677142527292375,1.5421636759672235
959,46,144,24,192,93,56.842380892806176,0.5770578302142751,0.9398812100945418,0.9547800795064286,0.279759631461588,0.6683637700213696,-0.8832129155084844,-0.4730733650760175,1.4898869411886735
960,44,152,13,182,90,58.493609738766665,0.44903949103623103,0.9825690332740189,0.9995589720770476,0.30241994978156894,0.7012725824849668,-0.8257495206691684,-0.45267403857720523,1.6989938803028732
961,48,175,19,174,87,54.813882683035835,0.30322870412037295,0.9382119353509788,0.955724641501793,0.2802286228490618,0.6709271895122966,-0.8089389545286805,-0.5559862978817878,1.7512706150814232
