trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD
107,40,150,31,319,0.8973130870936075,12.196854663774404,0.2524017962022125,0.6209691851638397,-0.9156801054377434
108,42,141,41,342,0.8774348208359002,12.880151843817789,0.24323863037554316,0.6092601858496404,-0.9529017465472835
109,38,88,33,312,0.8215450448197105,15.27169197396963,0.2149620405608883,0.5718893250749973,-0.9635457279613622
110,39,193,41,324,0.8823179063477529,8.917028199566161,0.24468906010642755,0.6108903729040877,-0.915725431723114
111,41,124,45,319,0.9382585165770984,13.973427331887201,0.2733062408771023,0.6476967411598598,-0.9325685995029008
112,44,135,45,331,0.8760722015374445,13.700108459869849,0.24239968408953216,0.6081675922418281,-0.9512113757452408
113,41,160,38,349,0.8413585279037877,11.171908893709327,0.22463375512452788,0.5846286705015971,-0.9685695348817522
114,45,124,47,305,0.8909870840613358,14.246746203904555,0.24851755271075704,0.6158558712334958,-0.9347488431797877
115,42,134,46,322,0.861077274050376,13.836767895878525,0.23448304368720918,0.5977975477255665,-0.9582817153023286
116,40,109,23,339,0.8869842988062974,12.470173535791757,0.24826398336326827,0.6157541678774444,-0.9471449592138972
117,39,116,49,312,0.877175841072579,14.793383947939263,0.24268347122431755,0.6085022250805856,-0.9429204087307222
118,38,148,27,328,0.9122069430455653,11.92353579175705,0.26033746071901076,0.6313072954779172,-0.9208060701287988
119,36,178,40,318,0.9835839314855472,9.600325379609545,0.296627025859326,0.677634944748085,-0.8693221687210545
120,6,173,38,151,0.7531680008328848,16.97993492407809,0.1848454412881524,0.5272710160810657,-0.9465637065102089
121,37,181,40,317,0.9811150464765438,9.39533622559653,0.2944520062222744,0.6749737314571737,-0.8446924806273648
122,37,184,40,306,0.8954026592974621,8.848698481561822,0.25034487154342466,0.6182137078927485,-0.8842564144872022
123,36,192,39,317,0.9501672531751876,8.575379609544468,0.2794975304150882,0.6563030498516591,-0.861612523510405
124,33,188,39,314,0.9344376539603142,8.780368763557483,0.27165441588687833,0.6459369131300519,-0.9101919292913979
125,33,191,39,319,0.8861570520386186,8.917028199566161,0.24698101597953936,0.6139241111763107,-0.9260294966609879
126,36,206,37,314,0.9240874434104539,7.140455531453362,0.2661638869934353,0.6391071965349228,-0.8752061940592692
127,34,178,38,327,0.9547638037517511,9.873644251626898,0.28147888121999376,0.6584069505247089,-0.8717792798853063
128,37,176,36,294,0.8568861996817035,9.463665943600867,0.23138811124484304,0.5929940239194497,-0.9034151425160823
129,34,189,40,52,0.47612190666879695,46.43004338394794,0.06747821918419827,0.33843664239420373,-0.9263292215826736
130,36,180,42,301,0.8178833677703711,9.053687635574837,0.21247296023540962,0.5674894088747178,-0.9453717677107969
